Step,TotEng,Hs
2479500.0000000000,-6475.2065400000001,-6471.9301800000003
2484000.0000000000,-6475.1059599999999,-6471.9868200000001
2488500.0000000000,-6474.8901400000004,-6471.9453100000001
2493000.0000000000,-6475.2368200000001,-6471.9843799999999
2497500.0000000000,-6475.1499000000003,-6471.8837899999999
2502000.0000000000,-6475.0219699999998,-6471.9223599999996
2506500.0000000000,-6475.0639600000004,-6471.9169899999997
2511000.0000000000,-6475.3720700000003,-6471.9511700000003
2515500.0000000000,-6474.9804700000004,-6471.9194299999999
2520000.0000000000,-6474.7197299999998,-6471.8535199999997
2524500.0000000000,-6474.5888699999996,-6471.9301800000003
2529000.0000000000,-6474.9506799999999,-6471.9233400000003
2533500.0000000000,-6475.0908200000003,-6471.9311500000003
2538000.0000000000,-6474.9370099999996,-6471.9560499999998
2542500.0000000000,-6474.9467800000002,-6471.9409200000000
2547000.0000000000,-6474.7416999999996,-6471.9663099999998
2551500.0000000000,-6475.1606400000001,-6471.8574200000003
2556000.0000000000,-6474.8877000000002,-6471.8823199999997
2560500.0000000000,-6474.8544899999997,-6471.9238299999997
2565000.0000000000,-6475.3100599999998,-6471.9467800000002
2569500.0000000000,-6474.8125000000000,-6471.8857399999997
2574000.0000000000,-6474.8168900000001,-6471.8959999999997
2578500.0000000000,-6475.5976600000004,-6471.9130900000000
2583000.0000000000,-6475.3076199999996,-6471.9643599999999
2587500.0000000000,-6475.2275399999999,-6471.9316399999998
2592000.0000000000,-6475.2968799999999,-6471.9247999999998
2596500.0000000000,-6475.1279299999997,-6471.9785199999997
2601000.0000000000,-6475.5869100000000,-6471.9814500000002
2605500.0000000000,-6475.1020500000004,-6471.9155300000002
2610000.0000000000,-6475.3378899999998,-6471.8979499999996
2614500.0000000000,-6475.1054700000004,-6471.9497099999999
2619000.0000000000,-6475.0610399999996,-6471.9340800000000
2623500.0000000000,-6474.9370099999996,-6471.9223599999996
